transaction_id,account_id,member_id,transaction_timestamp,transaction_type,amount,currency_code,description,channel,country_code,last_modified_ts
TXN00000001,ACCT008025,MEM003658,2026-02-12T20:04:25.932168+00:00,ATM,626.24,USD,ATM transaction,BRANCH,US,2026-02-12T20:47:25.932168+00:00
TXN00000002,ACCT001042,MEM000489,2026-01-22T18:23:08.932788+00:00,WIRE,2174.38,USD,WIRE transaction,ONLINE,US,2026-01-22T18:37:08.932788+00:00
TXN00000003,ACCT006516,MEM011732,2026-01-24T17:00:08.932803+00:00,ACH,15050.87,USD,ACH transaction,MOBILE,US,2026-01-24T17:28:08.932803+00:00
TXN00000004,ACCT024865,MEM013203,2026-01-20T15:14:22.932816+00:00,DEBIT,6955.49,USD,DEBIT transaction,BRANCH,CA,2026-01-20T15:35:22.932816+00:00
TXN00000005,ACCT003350,MEM001520,2026-02-04T18:02:25.932826+00:00,ATM,3887.83,USD,ATM transaction,MOBILE,US,2026-02-04T18:24:25.932826+00:00
TXN00000006,ACCT023912,MEM007528,2026-02-01T13:02:47.932835+00:00,DEBIT,15093.55,USD,DEBIT transaction,ONLINE,CA,2026-02-01T13:07:47.932835+00:00
TXN00000007,ACCT020268,MEM014508,2026-01-22T10:36:35.932844+00:00,CASH_DEPOSIT,7330.16,USD,CASH_DEPOSIT transaction,ATM,MX,2026-01-22T10:48:35.932844+00:00
TXN00000008,ACCT025332,MEM004742,2026-02-14T20:44:46.932854+00:00,CREDIT,1146.56,USD,CREDIT transaction,ONLINE,US,2026-02-14T21:39:46.932854+00:00
TXN00000009,ACCT020831,MEM013667,2026-02-13T08:06:31.932863+00:00,WIRE,9503.78,USD,WIRE transaction,ATM,US,2026-02-13T08:29:31.932863+00:00
TXN00000010,ACCT022998,MEM011200,2026-01-31T23:51:48.932873+00:00,ATM,5238.47,USD,ATM transaction,ONLINE,MX,2026-02-01T00:31:48.932873+00:00
TXN00000011,ACCT005355,MEM007574,2026-02-09T22:23:34.932882+00:00,CREDIT,13353.96,USD,CREDIT transaction,MOBILE,US,2026-02-09T23:22:34.932882+00:00
TXN00000012,ACCT027619,MEM012589,2026-01-22T04:53:25.932891+00:00,ATM,5491.16,USD,ATM transaction,ONLINE,US,2026-01-22T05:45:25.932891+00:00
TXN00000013,ACCT008774,MEM001085,2026-02-16T16:23:03.932899+00:00,WIRE,20126.34,USD,WIRE transaction,BRANCH,MX,2026-02-16T17:19:03.932899+00:00
TXN00000014,ACCT012965,MEM014495,2026-02-02T23:09:27.932908+00:00,WIRE,5316.45,USD,WIRE transaction,MOBILE,US,2026-02-02T23:25:27.932908+00:00
TXN00000015,ACCT017662,MEM004305,2026-02-11T11:06:09.932917+00:00,ACH,6166.44,USD,ACH transaction,MOBILE,MX,2026-02-11T11:31:09.932917+00:00
TXN00000016,ACCT016697,MEM008086,2026-01-31T16:01:38.932925+00:00,CREDIT,5483.8,USD,CREDIT transaction,ONLINE,US,2026-01-31T16:56:38.932925+00:00
TXN00000017,ACCT025955,MEM011150,2026-02-12T22:02:00.932934+00:00,CREDIT,3821.88,USD,CREDIT transaction,MOBILE,MX,2026-02-12T22:06:00.932934+00:00
TXN00000018,ACCT017339,MEM004120,2026-01-30T13:29:50.932942+00:00,WIRE,9541.1,USD,WIRE transaction,ONLINE,US,2026-01-30T14:12:50.932942+00:00
TXN00000019,ACCT011147,MEM001828,2026-01-23T04:10:05.932951+00:00,CASH_DEPOSIT,18772.19,USD,CASH_DEPOSIT transaction,ATM,CA,2026-01-23T04:20:05.932951+00:00
TXN00000020,ACCT028700,MEM011792,2026-01-27T05:09:26.932960+00:00,CASH_DEPOSIT,82.13,USD,CASH_DEPOSIT transaction,ATM,MX,2026-01-27T05:57:26.932960+00:00
TXN00000021,ACCT028526,MEM010245,2026-02-09T13:38:21.932969+00:00,DEBIT,12692.53,USD,DEBIT transaction,ATM,MX,2026-02-09T14:16:21.932969+00:00
TXN00000022,ACCT017675,MEM012758,2026-02-08T14:02:08.932978+00:00,CREDIT,3821.83,USD,CREDIT transaction,ONLINE,MX,2026-02-08T14:22:08.932978+00:00
TXN00000023,ACCT028794,MEM013627,2026-01-25T12:31:01.932986+00:00,ATM,487.9,USD,ATM transaction,ATM,US,2026-01-25T12:34:01.932986+00:00
TXN00000024,ACCT002807,MEM011992,2026-02-06T13:08:53.932995+00:00,DEBIT,21950.36,USD,DEBIT transaction,MOBILE,US,2026-02-06T13:56:53.932995+00:00
TXN00000025,ACCT021619,MEM007788,2026-01-23T09:08:10.933004+00:00,CREDIT,19146.09,USD,CREDIT transaction,BRANCH,US,2026-01-23T09:41:10.933004+00:00
TXN00000026,ACCT017672,MEM012375,2026-01-19T19:03:02.933012+00:00,CREDIT,10579.03,USD,CREDIT transaction,BRANCH,US,2026-01-19T19:28:02.933012+00:00
TXN00000027,ACCT014795,MEM001983,2026-01-31T02:43:02.933021+00:00,ACH,10953.06,USD,ACH transaction,BRANCH,US,2026-01-31T02:47:02.933021+00:00
TXN00000028,ACCT007541,MEM009642,2026-02-01T19:53:08.933029+00:00,ACH,526.84,USD,ACH transaction,BRANCH,US,2026-02-01T19:57:08.933029+00:00
TXN00000029,ACCT028169,MEM005414,2026-02-15T09:11:27.933038+00:00,DEBIT,5724.32,USD,DEBIT transaction,ONLINE,MX,2026-02-15T09:26:27.933038+00:00
TXN00000030,ACCT017670,MEM002168,2026-02-04T17:20:03.933046+00:00,CREDIT,16724.78,USD,CREDIT transaction,MOBILE,US,2026-02-04T18:10:03.933046+00:00
TXN00000031,ACCT003091,MEM001589,2026-01-26T06:43:49.933055+00:00,CREDIT,20187.62,USD,CREDIT transaction,MOBILE,US,2026-01-26T07:10:49.933055+00:00
TXN00000032,ACCT001776,MEM011033,2026-01-29T06:48:54.933064+00:00,CASH_DEPOSIT,11676.15,USD,CASH_DEPOSIT transaction,ONLINE,US,2026-01-29T07:13:54.933064+00:00
TXN00000033,ACCT008148,MEM003140,2026-02-01T18:28:03.933074+00:00,DEBIT,20015.01,USD,DEBIT transaction,BRANCH,MX,2026-02-01T18:56:03.933074+00:00
TXN00000034,ACCT015160,MEM004093,2026-02-11T10:27:34.933083+00:00,ATM,10547.62,USD,ATM transaction,ONLINE,CA,2026-02-11T11:18:34.933083+00:00
TXN00000035,ACCT017714,MEM013698,2026-01-22T12:36:30.933091+00:00,CASH_DEPOSIT,2448.62,USD,CASH_DEPOSIT transaction,ONLINE,US,2026-01-22T13:35:30.933091+00:00
TXN00000036,ACCT015774,MEM003503,2026-02-06T18:22:54.933100+00:00,WIRE,4158.61,USD,WIRE transaction,MOBILE,US,2026-02-06T18:32:54.933100+00:00
TXN00000037,ACCT008691,MEM012847,2026-01-30T20:14:53.933109+00:00,WIRE,54.88,USD,WIRE transaction,MOBILE,US,2026-01-30T20:41:53.933109+00:00
