clearing_id,event_id,member_id,posted_amount,currency_code,posting_date,merchant_id,country_code
CLR00000001,AUTH00000001,MEM003604,355.26,USD,2026-02-12,M00113,US
CLR00000002,AUTH00000002,MEM003186,1963.44,USD,2026-02-12,M02980,US
CLR00000003,AUTH00000003,MEM004930,1616.71,USD,2026-02-08,M01626,MX
CLR00000004,AUTH00000004,MEM006702,958.24,USD,2026-02-14,M00434,US
CLR00000005,AUTH00000005,MEM011522,4935.18,USD,2026-02-16,M01004,CA
CLR00000006,AUTH00000006,MEM003950,476.58,USD,2026-02-11,M01797,MX
CLR00000007,AUTH00000007,MEM007363,2473.46,USD,2026-02-17,M00411,US
CLR00000008,AUTH00000008,MEM008869,3365.53,USD,2026-02-15,M00699,CA
CLR00000009,AUTH00000009,MEM014636,3734.49,USD,2026-02-17,M01267,CA
CLR00000010,AUTH00000010,MEM013174,1122.88,USD,2026-02-13,M02210,US
CLR00000011,AUTH00000011,MEM009502,4309.37,USD,2026-02-09,M00150,US
CLR00000012,AUTH00000012,MEM009787,4703.54,USD,2026-02-14,M00680,US
CLR00000013,AUTH00000013,MEM012995,4717.07,USD,2026-02-17,M00245,US
CLR00000014,AUTH00000014,MEM013462,2911.91,USD,2026-02-16,M01269,US
CLR00000015,AUTH00000015,MEM008321,4503.98,USD,2026-02-16,M01923,US
CLR00000016,AUTH00000016,MEM012037,3165.7,USD,2026-02-13,M00854,MX
CLR00000017,AUTH00000017,MEM003814,590.55,USD,2026-02-09,M01022,US
CLR00000018,AUTH00000018,MEM014842,1812.0,USD,2026-02-09,M02751,CA
CLR00000019,AUTH00000019,MEM004770,2135.82,USD,2026-02-12,M02028,US
CLR00000020,AUTH00000020,MEM000542,2106.44,USD,2026-02-15,M02230,MX
CLR00000021,AUTH00000021,MEM012333,3619.34,USD,2026-02-16,M01562,US
CLR00000022,AUTH00000022,MEM001639,2699.79,USD,2026-02-09,M00170,US
CLR00000023,AUTH00000023,MEM001318,3273.75,USD,2026-02-10,M02923,US
CLR00000024,AUTH00000024,MEM014045,4702.84,USD,2026-02-09,M00860,US
CLR00000025,AUTH00000025,MEM010595,48.48,USD,2026-02-09,M01204,CA
CLR00000026,AUTH00000026,MEM002904,2416.83,USD,2026-02-08,M01786,US
CLR00000027,AUTH00000027,MEM008189,2267.14,USD,2026-02-10,M02474,MX
CLR00000028,AUTH00000028,MEM009815,3064.39,USD,2026-02-09,M00121,US
CLR00000029,AUTH00000029,MEM011729,1178.69,USD,2026-02-11,M01682,CA
CLR00000030,AUTH00000030,MEM013349,3683.68,USD,2026-02-16,M00592,CA
CLR00000031,AUTH00000031,MEM011803,2501.53,USD,2026-02-15,M02944,CA
CLR00000032,AUTH00000032,MEM010683,1287.08,USD,2026-02-16,M02629,US
CLR00000033,AUTH00000033,MEM007015,3225.02,USD,2026-02-17,M01871,CA
CLR00000034,AUTH00000034,MEM007534,4573.41,USD,2026-02-11,M02327,US
CLR00000035,AUTH00000035,MEM005332,4633.29,USD,2026-02-15,M01208,CA
CLR00000036,AUTH00000036,MEM010494,3461.73,USD,2026-02-11,M02099,MX
CLR00000037,AUTH00000037,MEM011810,29.39,USD,2026-02-13,M02982,CA
CLR00000038,AUTH00000038,MEM000364,3326.9,USD,2026-02-09,M01026,US
CLR00000039,AUTH00000039,MEM004376,1233.31,USD,2026-02-15,M00925,US
CLR00000040,AUTH00000040,MEM001552,67.37,USD,2026-02-15,M02550,MX
CLR00000041,AUTH00000041,MEM013113,3346.82,USD,2026-02-14,M02912,US
CLR00000042,AUTH00000042,MEM002888,2336.93,USD,2026-02-17,M01563,US
CLR00000043,AUTH00000043,MEM000316,1408.63,USD,2026-02-11,M00639,CA
CLR00000044,AUTH00000044,MEM003952,3886.17,USD,2026-02-16,M01673,US
CLR00000045,AUTH00000045,MEM011995,2750.05,USD,2026-02-14,M02840,MX
CLR00000046,AUTH00000046,MEM005236,1424.69,USD,2026-02-16,M02749,MX
CLR00000047,AUTH00000047,MEM012771,4234.86,USD,2026-02-13,M00281,US
CLR00000048,AUTH00000048,MEM000100,926.03,USD,2026-02-13,M02912,US
CLR00000049,AUTH00000049,MEM006273,200.58,USD,2026-02-15,M00266,US
CLR00000050,AUTH00000050,MEM003742,2766.36,USD,2026-02-16,M01570,MX
CLR00000051,AUTH00000051,MEM008245,218.35,USD,2026-02-18,M01004,US
CLR00000052,AUTH00000052,MEM010825,3553.97,USD,2026-02-10,M02319,US
CLR00000053,AUTH00000053,MEM013087,1731.63,USD,2026-02-11,M00788,CA
CLR00000054,AUTH00000054,MEM012527,1486.84,USD,2026-02-12,M02641,MX
CLR00000055,AUTH00000055,MEM009355,4488.52,USD,2026-02-15,M00072,MX
CLR00000056,AUTH00000056,MEM003599,4903.09,USD,2026-02-11,M00532,MX
CLR00000057,AUTH00000057,MEM001611,2827.57,USD,2026-02-12,M00455,MX
CLR00000058,AUTH00000058,MEM000012,3099.9,USD,2026-02-09,M00910,CA
CLR00000059,AUTH00000059,MEM011195,251.99,USD,2026-02-14,M02061,US
CLR00000060,AUTH00000060,MEM005311,915.38,USD,2026-02-13,M01152,US
CLR00000061,AUTH00000061,MEM003558,2845.34,USD,2026-02-17,M00829,US
CLR00000062,AUTH00000062,MEM012004,1261.25,USD,2026-02-09,M02832,US
CLR00000063,AUTH00000063,MEM000944,6.68,USD,2026-02-18,M00662,CA
CLR00000064,AUTH00000064,MEM000317,1956.99,USD,2026-02-08,M00204,US
CLR00000065,AUTH00000065,MEM006118,201.24,USD,2026-02-16,M00053,US
CLR00000066,AUTH00000066,MEM011561,3522.23,USD,2026-02-14,M02125,US
CLR00000067,AUTH00000067,MEM008701,1046.14,USD,2026-02-09,M02233,US
CLR00000068,AUTH00000068,MEM012073,4197.95,USD,2026-02-16,M01529,MX
CLR00000069,AUTH00000069,MEM004136,3803.0,USD,2026-02-08,M01038,US
CLR00000070,AUTH00000070,MEM007860,868.17,USD,2026-02-10,M01481,US
CLR00000071,AUTH00000071,MEM002098,1655.19,USD,2026-02-15,M02909,MX
CLR00000072,AUTH00000072,MEM013790,145.95,USD,2026-02-16,M01754,US
CLR00000073,AUTH00000073,MEM007939,1539.5,USD,2026-02-09,M02998,MX
CLR00000074,AUTH00000074,MEM002112,4839.19,USD,2026-02-11,M02642,US
CLR00000075,AUTH00000075,MEM008509,2895.31,USD,2026-02-16,M00929,US
CLR00000076,AUTH00000076,MEM001341,1033.68,USD,2026-02-10,M00918,US
CLR00000077,AUTH00000077,MEM002714,3907.52,USD,2026-02-15,M01214,MX
CLR00000078,AUTH00000078,MEM012531,2705.32,USD,2026-02-11,M01507,US
CLR00000079,AUTH00000079,MEM011864,1763.55,USD,2026-02-12,M00402,US
CLR00000080,AUTH00000080,MEM009331,2862.48,USD,2026-02-14,M01781,CA
CLR00000081,AUTH00000081,MEM012489,1322.74,USD,2026-02-12,M02931,CA
CLR00000082,AUTH00000082,MEM007655,91.78,USD,2026-02-09,M01835,US
CLR00000083,AUTH00000083,MEM013883,3152.18,USD,2026-02-14,M01996,CA
CLR00000084,AUTH00000084,MEM013318,4313.4,USD,2026-02-12,M00713,CA
CLR00000085,AUTH00000085,MEM007119,94.84,USD,2026-02-09,M01365,US
CLR00000086,AUTH00000086,MEM003576,1186.42,USD,2026-02-13,M02634,MX
CLR00000087,AUTH00000087,MEM003764,1961.4,USD,2026-02-16,M02856,US
CLR00000088,AUTH00000088,MEM009887,3957.51,USD,2026-02-09,M00162,US
CLR00000089,AUTH00000089,MEM001449,4897.91,USD,2026-02-08,M02562,US
CLR00000090,AUTH00000090,MEM011425,2950.16,USD,2026-02-10,M02979,US
CLR00000091,AUTH00000091,MEM004790,1306.97,USD,2026-02-11,M02286,CA
CLR00000092,AUTH00000092,MEM004295,4269.3,USD,2026-02-09,M01214,US
CLR00000093,AUTH00000093,MEM012587,1130.78,USD,2026-02-09,M01706,US
CLR00000094,AUTH00000094,MEM004260,1297.64,USD,2026-02-16,M00061,US
CLR00000095,AUTH00000095,MEM013493,3753.63,USD,2026-02-14,M01250,US
CLR00000096,AUTH00000096,MEM011331,234.73,USD,2026-02-14,M00868,US
CLR00000097,AUTH00000097,MEM003516,3307.57,USD,2026-02-10,M00434,CA
CLR00000098,AUTH00000098,MEM014193,2597.7,USD,2026-02-12,M01393,US
CLR00000099,AUTH00000099,MEM006061,1981.75,USD,2026-02-09,M01724,MX
CLR00000100,AUTH00000100,MEM000369,68.72,USD,2026-02-08,M00087,US
CLR00000101,AUTH00000101,MEM014273,4201.01,USD,2026-02-12,M01979,MX
CLR00000102,AUTH00000102,MEM013909,2492.77,USD,2026-02-16,M00084,MX
CLR00000103,AUTH00000103,MEM014331,3361.49,USD,2026-02-17,M02604,CA
CLR00000104,AUTH00000104,MEM011489,4117.74,USD,2026-02-13,M02999,CA
CLR00000105,AUTH00000105,MEM010305,1855.85,USD,2026-02-16,M01663,MX
CLR00000106,AUTH00000106,MEM012581,2414.02,USD,2026-02-10,M02559,US
CLR00000107,AUTH00000107,MEM008797,12.28,USD,2026-02-15,M01681,CA
CLR00000108,AUTH00000108,MEM011958,2377.62,USD,2026-02-15,M02117,CA
CLR00000109,AUTH00000109,MEM008166,1397.86,USD,2026-02-12,M02431,MX
CLR00000110,AUTH00000110,MEM009885,4656.11,USD,2026-02-08,M01502,US
CLR00000111,AUTH00000111,MEM006806,4214.91,USD,2026-02-17,M00116,MX
CLR00000112,AUTH00000112,MEM014661,4457.8,USD,2026-02-18,M01000,CA
CLR00000113,AUTH00000113,MEM010984,1783.88,USD,2026-02-09,M02775,US
CLR00000114,AUTH00000114,MEM007411,1190.92,USD,2026-02-17,M02975,US
CLR00000115,AUTH00000115,MEM002208,711.63,USD,2026-02-10,M01811,MX
CLR00000116,AUTH00000116,MEM011474,496.33,USD,2026-02-13,M01729,US
CLR00000117,AUTH00000117,MEM006918,1381.25,USD,2026-02-16,M01330,US
CLR00000118,AUTH00000118,MEM012603,3455.84,USD,2026-02-14,M00910,US
CLR00000119,AUTH00000119,MEM003571,4893.11,USD,2026-02-17,M00916,CA
CLR00000120,AUTH00000120,MEM007414,4695.25,USD,2026-02-14,M02662,CA
CLR00000121,AUTH00000121,MEM013318,1603.35,USD,2026-02-13,M00203,CA
CLR00000122,AUTH00000122,MEM001204,1977.99,USD,2026-02-16,M02871,US
CLR00000123,AUTH00000123,MEM011824,4166.48,USD,2026-02-12,M02149,US
CLR00000124,AUTH00000124,MEM013966,1593.43,USD,2026-02-15,M00325,US
CLR00000125,AUTH00000125,MEM008242,4017.26,USD,2026-02-10,M02978,US
CLR00000126,AUTH00000126,MEM009550,649.85,USD,2026-02-13,M02561,US
CLR00000127,AUTH00000127,MEM006739,3218.98,USD,2026-02-10,M00421,MX
CLR00000128,AUTH00000128,MEM006165,2946.9,USD,2026-02-12,M00644,US
CLR00000129,AUTH00000129,MEM002638,1063.59,USD,2026-02-15,M02376,US
CLR00000130,AUTH00000130,MEM014311,4122.77,USD,2026-02-10,M02772,MX
CLR00000131,AUTH00000131,MEM003808,2515.29,USD,2026-02-09,M02960,MX
CLR00000132,AUTH00000132,MEM007124,2702.86,USD,2026-02-08,M01379,CA
